               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.059081,            0.021073,            0.047778,             0.91751,            0.080645,             0.12297,            0.063524,            0.024053,           0.0067286,            0.031014,            0.070129,            0.003319,            0.003319
                   1,            0.039742,            0.013497,            0.042694,              0.4808,             0.15771,             0.14239,            0.069655,            0.023731,           0.0040749,            0.028291,            0.040063,           0.0065864,           0.0065864
                   2,            0.035346,            0.010516,            0.038582,             0.14354,             0.55254,             0.22295,             0.12614,            0.022051,           0.0035541,            0.026248,           0.0099316,           0.0097879,           0.0097879
                   3,             0.03313,           0.0090037,            0.038638,             0.15402,             0.60099,             0.27674,             0.17213,            0.017046,           0.0033379,            0.025967,            0.009703,            0.009703,            0.009703
                   4,            0.030606,           0.0084506,            0.038691,              0.1473,             0.56231,             0.26712,             0.16171,            0.017831,           0.0031068,            0.026654,            0.009703,            0.009703,            0.009703
                   5,            0.026983,            0.008198,            0.036422,             0.17178,             0.76152,              0.2488,             0.18342,            0.012269,           0.0031404,            0.026191,            0.009604,            0.009604,            0.009604
                   6,            0.026523,           0.0079766,            0.036892,              0.1723,             0.81949,             0.28213,             0.20989,            0.012831,            0.002868,            0.027861,            0.009505,            0.009505,            0.009505
                   7,            0.025549,           0.0077545,            0.036263,             0.17315,             0.80973,              0.3012,             0.23723,             0.01218,           0.0028166,             0.02548,            0.009406,            0.009406,            0.009406
                   8,            0.024057,           0.0072831,            0.035439,             0.17235,             0.77375,             0.30204,             0.22882,            0.011985,           0.0026834,            0.024779,            0.009307,            0.009307,            0.009307
                   9,            0.021511,           0.0071435,             0.03369,             0.18059,              0.8514,              0.2941,             0.23839,            0.010441,           0.0027312,            0.027683,            0.009208,            0.009208,            0.009208
                  10,            0.021972,           0.0071285,            0.035043,             0.16246,             0.73491,             0.27051,             0.22367,            0.010383,           0.0026968,            0.026028,            0.009109,            0.009109,            0.009109
