               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.022851,           0.0086846,             0.03047,             0.55593,              0.8109,             0.61221,             0.50138,             0.01636,           0.0036568,            0.029395,            0.006535,            0.006535,            0.006535
                  37,            0.022314,           0.0084455,            0.029561,              0.5604,              0.7717,             0.57207,               0.484,            0.016476,           0.0034569,            0.032939,            0.006436,            0.006436,            0.006436
                  38,            0.022786,           0.0080333,            0.029151,              0.5795,             0.73996,             0.65285,             0.54183,            0.017652,           0.0036222,            0.028147,            0.006337,            0.006337,            0.006337
                  39,            0.022165,           0.0086893,            0.029341,             0.56535,             0.69255,             0.65594,             0.55079,            0.018098,           0.0035433,            0.027897,            0.006238,            0.006238,            0.006238
                  40,            0.020551,           0.0081143,            0.027949,             0.55861,             0.67273,             0.68306,             0.57058,            0.016395,           0.0034368,            0.026204,            0.006139,            0.006139,            0.006139
                  41,            0.022014,           0.0080834,            0.028062,              0.6239,             0.76925,             0.74794,             0.61612,            0.016619,           0.0036482,            0.026121,             0.00604,             0.00604,             0.00604
                  42,            0.020983,           0.0079988,            0.027367,             0.71119,             0.79102,             0.76319,             0.62945,            0.015971,           0.0036214,            0.022563,            0.005941,            0.005941,            0.005941
                  43,            0.021944,           0.0080709,            0.029808,             0.70632,             0.75281,             0.73843,             0.61776,            0.018211,           0.0034503,            0.021043,            0.005842,            0.005842,            0.005842
                  44,             0.02098,           0.0083648,            0.027544,             0.67974,             0.71398,             0.73426,             0.61994,            0.015197,           0.0036722,            0.030072,            0.005743,            0.005743,            0.005743
                  45,            0.022431,           0.0080971,            0.029056,              0.6753,             0.78381,             0.81291,             0.67139,            0.017357,           0.0035346,            0.030833,            0.005644,            0.005644,            0.005644
                  46,            0.021117,           0.0079332,            0.024511,             0.73817,             0.76203,             0.75093,             0.63626,            0.016767,           0.0034458,            0.022647,            0.005545,            0.005545,            0.005545
                  47,            0.020979,           0.0078766,            0.023835,             0.73651,             0.79014,             0.77175,             0.65559,            0.016415,           0.0036073,            0.023155,            0.005446,            0.005446,            0.005446
                  48,            0.021166,           0.0082285,             0.02614,             0.79005,              0.7349,             0.81073,             0.66743,            0.016965,           0.0037198,            0.024657,            0.005347,            0.005347,            0.005347
                  49,            0.020584,           0.0081667,            0.024403,              0.7954,             0.73353,             0.79465,             0.67881,            0.016627,           0.0037658,            0.027355,            0.005248,            0.005248,            0.005248
                  50,            0.020706,           0.0081022,            0.024772,             0.84939,             0.76055,             0.81628,             0.69499,            0.017722,           0.0037072,            0.024018,            0.005149,            0.005149,            0.005149
                  51,            0.021383,            0.007983,            0.023386,             0.81509,             0.79744,             0.84878,             0.70204,            0.016364,           0.0035841,            0.026369,             0.00505,             0.00505,             0.00505
                  52,            0.020043,           0.0076461,            0.023306,             0.82635,             0.78638,             0.89115,             0.75345,            0.016786,           0.0033797,            0.026424,            0.004951,            0.004951,            0.004951
                  53,            0.020147,           0.0081499,            0.023235,             0.82567,             0.82243,             0.86102,             0.72781,            0.015925,           0.0037106,            0.021353,            0.004852,            0.004852,            0.004852
                  54,            0.019553,           0.0081163,            0.021625,             0.82502,             0.76798,             0.84724,             0.70464,            0.015014,           0.0036587,            0.023249,            0.004753,            0.004753,            0.004753
                  55,            0.021424,           0.0078278,            0.023286,             0.83274,             0.77992,             0.83958,             0.70835,            0.015849,            0.003477,            0.026117,            0.004654,            0.004654,            0.004654
                  56,            0.019266,            0.007639,            0.022364,             0.87349,             0.80733,             0.82955,             0.70429,            0.019956,            0.003341,            0.017634,            0.004555,            0.004555,            0.004555
                  57,            0.020722,            0.007719,            0.022295,             0.81371,             0.80101,             0.85537,             0.72437,            0.015746,           0.0035225,            0.022703,            0.004456,            0.004456,            0.004456
                  58,            0.020518,           0.0078616,            0.020395,             0.82716,             0.79395,             0.86709,             0.72894,            0.016408,           0.0035189,            0.026572,            0.004357,            0.004357,            0.004357
                  59,            0.020045,           0.0077405,            0.021285,             0.83715,             0.82269,             0.92325,             0.78209,            0.016103,            0.003574,            0.021531,            0.004258,            0.004258,            0.004258
                  60,            0.019757,           0.0076552,            0.017625,             0.92195,              0.7846,             0.92124,             0.78178,            0.014818,           0.0034687,            0.026626,            0.004159,            0.004159,            0.004159
                  61,            0.020008,           0.0080171,            0.022067,             0.92494,             0.78918,             0.94137,             0.80846,            0.014674,           0.0033421,            0.023801,             0.00406,             0.00406,             0.00406
                  62,            0.019037,           0.0075952,            0.019846,             0.91506,             0.78463,             0.90138,             0.76622,             0.01513,           0.0035048,            0.021457,            0.003961,            0.003961,            0.003961
                  63,            0.019765,           0.0077635,             0.01923,             0.90953,              0.7915,             0.91614,             0.79151,            0.014734,           0.0035233,            0.020104,            0.003862,            0.003862,            0.003862
                  64,            0.019924,           0.0079071,            0.020183,             0.90482,              0.8221,             0.92268,             0.78674,            0.015065,           0.0032755,            0.022334,            0.003763,            0.003763,            0.003763
                  65,            0.018759,           0.0073561,            0.017813,             0.92758,             0.82228,             0.91676,             0.78406,            0.016031,           0.0032991,            0.024605,            0.003664,            0.003664,            0.003664
                  66,            0.017837,           0.0075324,            0.016403,             0.93742,             0.78225,             0.85588,             0.69776,            0.015893,             0.00352,            0.019248,            0.003565,            0.003565,            0.003565
                  67,            0.019189,           0.0076844,            0.017814,             0.89575,             0.81102,             0.91052,             0.78933,            0.013827,           0.0034881,            0.023351,            0.003466,            0.003466,            0.003466
                  68,            0.018649,           0.0074885,              0.0161,             0.93612,             0.80023,             0.94209,              0.8054,            0.014267,           0.0033486,            0.022275,            0.003367,            0.003367,            0.003367
                  69,            0.018375,           0.0074307,             0.01489,             0.91232,             0.83212,             0.94967,             0.81949,            0.014192,           0.0034517,             0.02066,            0.003268,            0.003268,            0.003268
                  70,             0.01739,           0.0070086,            0.014575,              0.8979,             0.80741,             0.91567,             0.76856,            0.014393,           0.0036334,            0.021133,            0.003169,            0.003169,            0.003169
                  71,            0.017703,           0.0073056,             0.01464,             0.93428,             0.80814,             0.92829,             0.80879,             0.01304,            0.003426,            0.024209,             0.00307,             0.00307,             0.00307
                  72,            0.017873,           0.0075725,            0.015101,             0.94048,             0.82159,               0.874,             0.75657,            0.012505,           0.0030285,            0.027755,            0.002971,            0.002971,            0.002971
                  73,             0.01716,           0.0070017,            0.014436,             0.92462,             0.81177,             0.93204,             0.79928,            0.014481,           0.0031902,            0.028701,            0.002872,            0.002872,            0.002872
                  74,            0.017982,           0.0075781,            0.013485,             0.91896,             0.80709,             0.89259,             0.76051,            0.013341,           0.0035537,            0.022534,            0.002773,            0.002773,            0.002773
                  75,            0.017451,           0.0072362,            0.014415,             0.81996,             0.90621,             0.94613,              0.8139,            0.014003,           0.0034042,            0.022498,            0.002674,            0.002674,            0.002674
                  76,            0.017378,           0.0075547,            0.012552,             0.93689,             0.81917,             0.89901,             0.77603,            0.013664,           0.0033027,            0.025123,            0.002575,            0.002575,            0.002575
                  77,            0.017163,           0.0070935,            0.013106,              0.9253,             0.83961,             0.85959,             0.74565,            0.013939,           0.0032107,            0.019708,            0.002476,            0.002476,            0.002476
                  78,            0.017445,           0.0075156,            0.011733,             0.93321,              0.8186,              0.9239,              0.7808,            0.013841,            0.003319,            0.023183,            0.002377,            0.002377,            0.002377
                  79,            0.016526,           0.0069362,            0.013091,             0.94397,             0.82727,             0.92466,             0.78904,            0.014191,           0.0033485,            0.019404,            0.002278,            0.002278,            0.002278
                  80,            0.016416,           0.0072352,             0.01213,             0.75414,             0.88884,             0.90937,             0.78677,            0.013483,           0.0032798,            0.021931,            0.002179,            0.002179,            0.002179
                  81,            0.016712,           0.0068004,            0.011521,             0.80613,             0.92147,              0.9373,             0.82092,            0.014575,           0.0032721,            0.018365,             0.00208,             0.00208,             0.00208
                  82,            0.016262,           0.0068788,            0.010598,             0.95422,             0.82423,             0.90744,             0.78525,            0.014273,           0.0032898,            0.017876,            0.001981,            0.001981,            0.001981
                  83,            0.016929,           0.0068033,            0.011262,             0.92912,             0.82747,             0.85625,             0.75438,            0.015103,           0.0031277,            0.021189,            0.001882,            0.001882,            0.001882
                  84,            0.016329,           0.0069096,            0.010817,             0.92938,             0.80079,             0.85743,             0.74898,             0.01333,           0.0031586,            0.024021,            0.001783,            0.001783,            0.001783
